Раздел;Подраздел;Исследование;Параметр;Норма;Единицы измерения;
Биохимические исследования крови;Витамины;Исследование уровня 25-OH витамина Д в крови;25-OH Витамин D общий (25-гидроксикальциферол);30.0;нг/мл;
Биохимические исследования крови;Витамины;Определение уровня витамина B1 (тиамин) в крови;Витамин B1 (тиамин);2.09-4.3;нг/мл;
Биохимические исследования крови;Витамины;Определения уровня витамина B5 (пантотеновая кислота) в крови;Витамин B5 (пантотеновая кислота);0.2-1.8;мкг/мл;
Биохимические исследования крови;Витамины;Определение уровня витамина B6 (пиридоксин) в крови;Витамин B6 (пидоксин);8.7-27.2;нг/мл;
Биохимические исследования крови;Витамины;Определение уровня витамина C (аскорбиновая кислота) в крови;Витамин C (аскорбиновая кислота);4.0-20.0;мкг/мл;
Биохимические исследования крови;Витамины;Исследование уровня 25-OH и 25-OH D3 витамина Д в крови;25-OH D2 (25-гидроксиэргокальциферол);0.82-7.0;нг/мл;
Биохимические исследования крови;Витамины;Исследование уровня 25-OH и 25-OH D3 витамина Д в крови;25-OH D3 (25-гидроксихолекальциферол);2.16-42.6;нг/мл;
Биохимические исследования крови;Витамины;Определение уровня витамина A (ретинол) в крови;Витамин A (ретинол);0.3-0.8;мкг/мл;
Биохимические исследования крови;Витамины;Определение уровня витамина B12 (цианокобаламин) в крови;Витамин B12 (цианкобаламин) (Жен. от 0 дней до 2 лет);228.0-1515.0;пг/мл;
Биохимические исследования крови;Витамины;Определение уровня витамина B12 (цианокобаламин) в крови;Витамин B12 (цианкобаламин) (Жен. от 10 до 13 лет);196.0-1020.0;пг/мл;
Биохимические исследования крови;Витамины;Определение уровня витамина B12 (цианокобаламин) в крови;Витамин B12 (цианкобаламин) (Жен. от 13 до 18 лет);182.0-820.0;пг/мл;
Биохимические исследования крови;Витамины;Определение уровня витамина B12 (цианокобаламин) в крови;Витамин B12 (цианкобаламин) (Жен. от 2 до 4 лет);416.0-1210.0;пг/мл;
Биохимические исследования крови;Витамины;Определение уровня витамина B12 (цианокобаламин) в крови;Витамин B12 (цианкобаламин) (Жен. от 4 до 7 лет);313.0-1410.0;пг/мл;
Биохимические исследования крови;Витамины;Определение уровня витамина B12 (цианокобаламин) в крови;Витамин B12 (цианкобаламин) (Жен. от 7 до 10 лет);247.0-1175.0;пг/мл;
Биохимические исследования крови;Витамины;Определение уровня витамина B12 (цианокобаламин) в крови;Витамин B12 (цианкобаламин) (Люб. от 18 до 99 лет);197.0-771.0;пг/мл;
Биохимические исследования крови;Витамины;Определение уровня витамина B12 (цианокобаламин) в крови;Витамин B12 (цианкобаламин) (Муж. от 0 дней до 2 лет);293.0-1210.0;пг/мл;
Биохимические исследования крови;Витамины;Определение уровня витамина B12 (цианокобаламин) в крови;Витамин B12 (цианкобаламин) (Муж. от 10 до 13 лет);183.0-1090.0;пг/мл;
Биохимические исследования крови;Витамины;Определение уровня витамина B12 (цианокобаламин) в крови;Витамин B12 (цианкобаламин) (Муж. от 13 до 18 лет);214.0-864.0;пг/мл;
Биохимические исследования крови;Витамины;Определение уровня витамина B12 (цианокобаламин) в крови;Витамин B12 (цианкобаламин) (Муж. от 2 до 4 лет);264.0-1215.0;пг/мл;
Биохимические исследования крови;Витамины;Определение уровня витамина B12 (цианокобаламин) в крови;Витамин B12 (цианкобаламин) (Муж. от 4 до 7 лет);245.0-1075.0;пг/мл;
Биохимические исследования крови;Витамины;Определение уровня витамина B12 (цианокобаламин) в крови;Витамин B12 (цианкобаламин) (Муж. от 7 до 10 лет);271.0-1170.0;пг/мл;
Биохимические исследования крови;Витамины;Определение уровня витамина E (токоферол) в крови;Витамин E (токоферол);5.0-18.0;мкг/мл;
Биохимические исследования крови;Витамины;Определение уровня витамина K1 (филлохинон) в крови;Витамин K1 (филлохинон);0.1-2.2;нг/мл;
Биохимические исследования крови;Витамины;Исследование уровня филевой кислоты в сыворотке крови;Фолиевая кислота (фолаты);3.89-26.8;нг/мл;
Биохимические исследования крови;Обмен белков;Исследование уровня альбумина в крови;Альбумин (абс) (Жен. от 15 до 19 лет);40.0-53.0;г/л;
Биохимические исследования крови;Обмен белков;Исследование уровня альбумина в крови;Альбумин (абс) (Люб. от 0 до 15 дней);33.0-45.0;г/л;
Биохимические исследования крови;Обмен белков;Исследование уровня альбумина в крови;Альбумин (абс) (Люб. от 1 года до 8 лет);40.0-49.0;г/л;
Биохимические исследования крови;Обмен белков;Исследование уровня альбумина в крови;Альбумин (абс) (Люб. от 15 дней до 1 года);31.0-50.0;г/л;
Биохимические исследования крови;Обмен белков;Исследование уровня альбумина в крови;Альбумин (абс) (Люб. от 19 до 99 лет);39.7-49.4;г/л;
Биохимические исследования крови;Обмен белков;Исследование уровня альбумина в крови;Альбумин (абс) (Люб. от 8 до 15 лет);42.0-51.0;г/л;
Биохимические исследования крови;Обмен белков;Исследование уровня альбумина в крови;Альбумин (абс) (Муж. от 15 до 19 лет);43.0-53.0;г/л;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;БЕЛКОВЫЕ ФРАКЦИИ (ЭЛЕКТРОФОРЕЗ) (Люб. от 0 дней до 1 дня);34.0-50.0;;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;БЕЛКОВЫЕ ФРАКЦИИ (ЭЛЕКТРОФОРЕЗ) (Люб. от 1 года до 18 лет);60.0-80.0;;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;БЕЛКОВЫЕ ФРАКЦИИ (ЭЛЕКТРОФОРЕЗ) (Люб. от 1 дня до 2 месяцев);46.0-68.0;;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;БЕЛКОВЫЕ ФРАКЦИИ (ЭЛЕКТРОФОРЕЗ) (Люб. от 18 до 99 лет);66.0-87.0;;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;БЕЛКОВЫЕ ФРАКЦИИ (ЭЛЕКТРОФОРЕЗ) (Люб. от 2 месяцев до 1 года);48.0-76.0;;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;Альбумин (отн.) (Люб. от 0 дней до 6 месяцев);58.9-73.4;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;Альбумин (отн.) (Люб. от 1 года до 2 лет);57.4-69.0;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;Альбумин (отн.) (Люб. от 19 лет до 99 лет);55.8-66.1;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;Альбумин (отн.) (Люб. от 2 до 7 лет);57.1-67.19;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;Альбумин (отн.) (Люб. от 6 месяцев до 1 года);57.4-71.4;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;Альбумин (отн.) (Люб. от 7 до 19 лет);57.1-67.19;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;Альбумин, рассчитанный по электрофореграмме (Люб. от 0 дней до 6 месяцев);27.3-49.1;г/л;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;Альбумин, рассчитанный по электрофореграмме (Люб. от 1 года до 2 лет);38.7-51.1;г/л;
