Раздел;Подраздел;Исследование;Альтернативные названия;Зарубежные названия;
Биохимические исследования крови;Витамины;Исследование уровня 25-OH витамина Д в крови;Витамин Д. Кальциферол. 25-гидроксивитамин D. 25-гидроксикальциферол;Vitamin D. 25-Hydroxy. 25-Hydroxycalciferol. 25-OH-D. Cholecalciferol Metabolite. Vitamin D3 Metabolite. calcidiol (25-hydroxy-vitamin D). 25(OH)D;
Биохимические исследования крови;Витамины;Определение уровня витамина B1 (тиамин) в крови;;;
Биохимические исследования крови;Витамины;Определения уровня витамина B5 (пантотеновая кислота) в крови;;;
Биохимические исследования крови;Витамины;Определение уровня витамина B6 (пиридоксин) в крови;;;
Биохимические исследования крови;Витамины;Определение уровня витамина C (аскорбиновая кислота) в крови;;;
Биохимические исследования крови;Витамины;Исследование уровня 25-OH и 25-OH D3 витамина Д в крови;Витамин Д. кальциферол. 25-гидроксивитамин D. 25-гидроксикальциферол;Vitamin D. 25-Hydroxy. 25-Hydroxycaalciferol. 25-OH-D. Cholecalciferol Metabolite. Vitamin D3 Metabolite. calcidiol (25-hydroxy-vitamin D). calcifidiol (25-hydroxy-vitamin D). 25(OH)D;
Биохимические исследования крови;Витамины;Определение уровня витамина A (ретинол) в крови;;;
Биохимические исследования крови;Витамины;Определение уровня витамина B12 (цианокобаламин) в крови;;;
Биохимические исследования крови;Витамины;Определение уровня витамина E (токоферол) в крови;;;
Биохимические исследования крови;Витамины;Определение уровня витамина K1 (филлохинон) в крови;;;
Биохимические исследования крови;Витамины;Исследование уровня филевой кислоты в сыворотке крови;Фолиевая кислота. фолацин. птериолглутаминовая кислоат. витамина B9; Vitamin B9. vitamin Bc. folic acid. folacin. pteroylglutamic acid;
Биохимические исследования крови;Обмен белков;Исследование уровня альбумина в крови; Альбумин человека; Albumin. ALB. Protein. Blood;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;Протеинограмма;Serum Protein Electrophoresis (SPE, SPEP);
Биохимические исследования крови;Обмен белков;Исследование уровня общего белка в крови;Общий белок. Общий белок сыворотки крови;Total Protein. Serum Total Protein. Total Serum. Protein. TProt. TP;
Биохимические исследования крови;Обмен белков;Исследование уровня цистатина C в крови;Цистатин 3;Cystatin C;
Биохимические исследования крови;Обмен железа;Исследование уровня железа сыворотки крови;Железо сывороточное. Ионы железа;Serum Iron. Serum Fe. Iron. Fe;
Биохимические исследования крови;Обмен железа;Исследование железосвязывающей способности сыворотки;Общая железосвязывающая способность сыворотки. ОЖСС;Iron indices. Iron profile. TIBC. Total iron binding capacity. Iron binding capacity. IBC. Serum iron-binding capacity;
Биохимические исследования крови;Обмен железа;Исследование уровня трансферрина сыворотки крови;Переносчик железа. Сидерофилин;Siderophilin. Transferrin, Tf;
Биохимические исследования крови;Обмен железа;Исследование уровня ферритина в крови;Депонированное железо. Металлопротеид. Индикатор запасов железа;Ferritin;
Биохимические исследования крови;Субстраты;Исследования уровня общего билирубина в крови;Общий билирубин крови. Общий билибурин сывыротки;Total bilirubin. TBIL;
Биохимические исследования крови;Субстраты;Исследование уровня билирубина связанного (конъюгированного) в крови;Прямой билирубин. Коъюгированный билирубин. Связанный билирубин. Билирубин новорожденных;Direct bilirubin. Conjugared bilirubin;
Биохимические исследования крови;Субстраты;Исследование уровня желчных кислот в крови;Анализ ЖК;Fatty acids analysis;
Биохимические исследования крови;Субстраты;Исследование уровня креатина в крови;1-метилгликоциамидин. Продукт превращения креатинфосфата. Креатинин в крови;Creatinine. Creat. Serum Creat. Cre. Blood creatinine. Serum creatinine. Urine creatinine;
Биохимические исследования крови;Субстраты;Исследование уровня мочевой кислоты в крови;Пурин-2,6,8-трион. Продукт метаболизма пуриновых оснований. Тригидроксипурин. 2,6,8-триоксипурин. Гетероциклический уреид мочевины;Uric acid. UA. Uric A;
Биохимические исследования крови;Субстраты;Исследование уровня мочевины в крови;Диамид угольной кислоты. Карбамид. Мочевина в крови; Urea nitrogen. Urea. Blood Urea Nitrogen (BUN). Urea. Plasma Urea;
Биохимические исследования крови;Ферменты;Определение активности аланинаминотрансферазы в крови;Глутамат-пируват-трансаминаза. Глутамат-пируват-трансаминаза в сыворотке.СГПТ;Alanine aminotransferase. Serum glutamic-pyruvic transaminase. SGPT. Alanine transaminase. AST/ALT ratio;
Биохимические исследования крови;Ферменты;Определение активности аспартатаминотрансферазы в крови;Глюматин-щевелевоуксусная трансаминаза в сыворотке. Глутамат-оксалоацетат-трансаминаза сыворотки крови (СГОТ). Аспартаттрансаминаза;Aspartate aminotransferase;
Биохимические исследования крови;Ферменты;Определение активности амилазы в крови;Диастаза. Сывороточная амилаза. Альфа-амилаза. Амилаза сыворотки;Amy. Alpha-amylase. AML. Diastase. 1,4-?-D-glucanohydralase. Serum amylase. Blood amylase;
Биохимические исследования крови;Ферменты;Определение активности пакреатической амилазы в крови;P-изофермент амилазы. Альфа-амилаза панкреатическая. P-амилаза. P-тип амилазы; Pancreatic alpha-amylase. Pancreatic AML. P-type amylase. P-type alpha-amylase. Amylase isoenzymes. Amylase isoforms;
Биохимические исследования крови;Ферменты;Определение активности гамма-глютамилтранспептидазы в крови;Гамма-глютаматтранспептидаза. Гамма-глютаматтрансфераза. ГГТ. Гамма-глутаматтранспептидаза. Гамма-глутаматтрнасфераза. ГГТП;Gamma-glutamyl transferase. Gamma-glutamyl transpeptidase. GGTP. Gamma GT. GTP;
Биохимические исследования крови;Ферменты;Определние уровня глутаматдегидрогеназы (ГлДГ, GLDH) в крови;Глутаматдегидрогеназа;GLDH;
Биохимические исследования крови;Ферменты;Определение активности общей кислой фосфатазы крови;Кислая фосфотаза;;
Биохимические исследования крови;Ферменты;Определние активности креатинкиназы в крови;КК. Креатинфосфокиназа (КФК); Creatine Kinase (CK). Creatine Phosphokinase (CPK);
Биохимические исследования крови;Ферменты;Исследование уровня/активности изоферментов креатинкиназы в крови;Креатинфосфокиназа МВ.КФК-МВ.КК-МВ.KK-2;Creatinekinase MB. CK-MB. Creatine phosphokianse. CPK-MB;
Биохимические исследования крови;Ферменты;Определение активности лактатдегидрогеназы в крови;Дегидрогеназа молочной кислоты;Lactate dehydrogenase. Total. Lactic Dehydrogenase. LDH. LD;
Биохимические исследования крови;Ферменты;Определение активности фракций лактатдегидрогеназы;Изоферменты ЛДГ 1, 2. Изоморфы ЛДГ 1,2;Lactate dehydrogenase 1,2. LDH 1,2. LDH, Isoenzymes 1,2;
Биохимические исследования крови;Ферменты;Определение активности липазы в сыворотке крови;Липаза. Эстераза. Стеансин. Гидролаза эфиров глиценрина;LPS. Lipase. Serum lipase;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Бутирихолинэстераза. Псевдохолинэстераза. BCHE. Ацетилхолинэстераза;CHS. AChE. RBC cholinesterase. Red cell cholinesterase. BChE. Plasma cholinesterase. Pseudocholinesterase. PCHE. Erythrocyte acetylcholinesterase. Butyrylcholinesterase;
Биохимические исследования крови;Ферменты;Определение активности щелочной фосфатазы в крови;Фосфатаз щелочная;ALK PHOS. ALP. ALKP. Alkaline phosphatase;
